,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
222,RBFNetwork,2,10,Diabetes,0.5440058925553548,0.23863635957241058,0.09208771167945064
223,RLVQ,2,10,Diabetes,0.4309285394763608,0.09090909361839294,2.430253393230653
224,RegNG,2,10,Diabetes,0.5705065045362039,0.17045454680919647,0.09761303832532181
225,RegSeNG,2,10,Diabetes,0.5686872026938008,0.1931818127632141,0.10838986850616622
226,NGTSP,2,10,Diabetes,0.5184551633571461,0.21590909361839294,0.11305609716088337
227,RNGTSP,2,10,Diabetes,0.5172008572080492,0.15909090638160706,0.10219457154810069
228,RBFNetwork,3,10,Diabetes,0.5169162503973052,0.20454545319080353,0.09773169176892484
229,RLVQ,3,10,Diabetes,0.47435817167759214,0.11363636702299118,1.6899645600899584
230,RegNG,3,10,Diabetes,0.44337066170586237,0.1931818127632141,0.11757189033934425
231,RegSeNG,3,10,Diabetes,0.4809533203290673,0.21590909361839294,0.10854334798598857
232,NGTSP,3,10,Diabetes,0.5343656354783911,0.22727273404598236,0.11353752650904098
233,RNGTSP,3,10,Diabetes,0.500884792795703,0.23863635957241058,0.09215345457237395
234,RBFNetwork,4,10,Diabetes,0.560891401021796,0.21590909361839294,0.08968494604888895
235,RLVQ,4,10,Diabetes,0.5145900103381295,0.13636364042758942,1.3683852957050966
236,RegNG,4,10,Diabetes,0.5422661700361673,0.1931818127632141,0.09171628771282908
237,RegSeNG,4,10,Diabetes,0.5478356379422678,0.22727273404598236,0.09596237099341255
238,NGTSP,4,10,Diabetes,0.5543358846036186,0.22727273404598236,0.09431732906245248
239,RNGTSP,4,10,Diabetes,0.5309230897611147,0.25,0.09250331063626577
240,RBFNetwork,0,15,Diabetes,0.4279230356293088,0.17977528274059296,0.1217675082419675
241,RLVQ,0,15,Diabetes,0.30259189744024734,0.16853933036327362,1.847432975264542
242,RegNG,0,15,Diabetes,0.41508722373677864,0.16853933036327362,0.12304152423348397
243,RegSeNG,0,15,Diabetes,0.41813759724573424,0.13483145833015442,0.12329500252327923
244,NGTSP,0,15,Diabetes,0.36532708023408045,0.13483145833015442,0.12831710882893288
245,RNGTSP,0,15,Diabetes,0.4051233243225992,0.16853933036327362,0.11588199396037047
246,RBFNetwork,1,15,Diabetes,0.49781213973796645,0.17977528274059296,0.10168948521613912
247,RLVQ,1,15,Diabetes,0.44358299022065606,0.08988764137029648,1.9382876025833817
248,RegNG,1,15,Diabetes,0.4828940254868851,0.23595505952835083,0.09577264160873414
249,RegSeNG,1,15,Diabetes,0.4838545035884984,0.20224718749523163,0.11245499140272143
250,NGTSP,1,15,Diabetes,0.44445890120944614,0.24719101190567017,0.10689231093519341
251,RNGTSP,1,15,Diabetes,0.44488290257192836,0.26966291666030884,0.1063511960367388
